clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
CHIU CHOW GOLF,,,,,,,,,,,,,,,,0.0,L216,,,1.0,,5.0,29.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CHIU CHOW SPIRIT,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO YIELDING,10.0,0.0,2026-06-27,4.0,73.0,B/TT,0.0,0.0,H175,10.416666666666666,0.0,1.0,[],6.0,30.0,26.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CIRCUIT CENTURY,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,8.0,0.0,2026-09-09,4.0,41.0,B/XB/TT,0.0,1.0,K308,6.333333333333333,0.0,1.0,[],,,,,,,,
CIRCUIT CHAMPION,,,,,,,,,,,,,,,,0.0,J428,,,1.0,,5.0,29.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CIRCUIT FIERY,,,,,,,,,,,,,,,,1.0,H475,,,1.0,,7.0,25.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CIRCUIT MARSHAL,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,10.5,0.0,2026-07-12,4.0,45.0,CP-/B1/TT,0.0,0.0,K526,10.125,0.0,1.0,[],6.0,22.0,0.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
COLOURFUL GAN,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,8.5,0.0,2026-09-09,4.0,47.0,B,0.0,0.0,L054,6.9,0.0,1.0,[],,,,,,,,
COLOURFUL WINNER,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.0,0.0,2026-06-21,4.0,37.0,TT,0.0,0.0,J312,3.083333333333333,0.0,1.0,[],4.0,27.0,0.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
COMET RADIANCE,,,,,,,,,,,,,,,,1.0,L067,,,1.0,,3.0,25.0,29.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
COMPLETE UNKNOWN,,,,,,,,,,,,,,,,0.0,L219,,,1.0,,5.0,25.0,24.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
